Year,Fatal Airliner Accidents Per Million Flights
1970,6.4561877
1971,4.945026
1973,6.246864
1974,6.2669506
1975,4.759484
1976,5.437681
1977,5.244103
1978,4.0260415
1979,5.162671
1980,3.0827005
1981,3.7000613
1982,3.0960352
1983,2.974337
1984,2.630656
1985,3.2778895
1986,2.9975545
1987,3.2465572
1988,3.8902376
1989,3.8513384
1990,2.879888
1991,3.4120424
1992,3.1503875
1993,2.68982
1994,2.7876346
1995,2.7209826
1996,2.5852609
1997,1.8929123
1998,2.391468
1999,2.1218522
2000,1.6811565
2001,1.6169442
2002,1.5852133
2003,1.2216543
2004,1.3472201
2005,1.4040471
2006,0.96659666
2007,1.153136
2008,1.0196842
2009,0.8804662
2010,0.91099477
2011,1.0469499
2012,0.5524613
2013,0.7309849
2014,0.55659
2015,0.29973468
2016,0.4612551
2017,0.28008196
2018,0.38014314
2019,0.51015496
2020,0.39103588
